"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
F F THOMPSON HOSPITAL,330074,NY,READM-30-PN-HRRP,166,,1.0294,16.3013,15.8359,29,07/01/2021,06/30/2024
F F THOMPSON HOSPITAL,330074,NY,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
F F THOMPSON HOSPITAL,330074,NY,READM-30-HF-HRRP,129,,1.1586,20.4091,17.6150,37,07/01/2021,06/30/2024
F F THOMPSON HOSPITAL,330074,NY,READM-30-COPD-HRRP,N/A,,1.0263,16.8967,16.4641,Too Few to Report,07/01/2021,06/30/2024
F F THOMPSON HOSPITAL,330074,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
F F THOMPSON HOSPITAL,330074,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
SISTERS OF CHARITY HOSPITAL,330078,NY,READM-30-PN-HRRP,88,,1.0752,17.1065,15.9104,20,07/01/2021,06/30/2024
SISTERS OF CHARITY HOSPITAL,330078,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
SISTERS OF CHARITY HOSPITAL,330078,NY,READM-30-HF-HRRP,148,,1.0393,20.3907,19.6203,33,07/01/2021,06/30/2024
SISTERS OF CHARITY HOSPITAL,330078,NY,READM-30-COPD-HRRP,N/A,,0.9914,18.0257,18.1826,Too Few to Report,07/01/2021,06/30/2024
SISTERS OF CHARITY HOSPITAL,330078,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
SISTERS OF CHARITY HOSPITAL,330078,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-PN-HRRP,75,,1.0194,15.6477,15.3500,13,07/01/2021,06/30/2024
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.5908,2.3079,3.9062,Too Few to Report,07/01/2021,06/30/2024
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-HF-HRRP,N/A,,1.0059,18.4979,18.3899,Too Few to Report,07/01/2021,06/30/2024
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-COPD-HRRP,N/A,,0.9530,15.6468,16.4190,Too Few to Report,07/01/2021,06/30/2024
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,READM-30-PN-HRRP,N/A,,0.9764,15.4786,15.8535,Too Few to Report,07/01/2021,06/30/2024
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,READM-30-HF-HRRP,65,,0.9848,23.3621,23.7220,14,07/01/2021,06/30/2024
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-PN-HRRP,157,,1.0155,15.2803,15.0475,25,07/01/2021,06/30/2024
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-HF-HRRP,97,,1.0478,19.2378,18.3595,22,07/01/2021,06/30/2024
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-COPD-HRRP,N/A,,0.9843,15.2939,15.5380,Too Few to Report,07/01/2021,06/30/2024
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,READM-30-PN-HRRP,N/A,,0.9690,14.5239,14.9886,Too Few to Report,07/01/2021,06/30/2024
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-PN-HRRP,223,,0.9300,14.2625,15.3365,27,07/01/2021,06/30/2024
ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9221,5.2453,5.6883,Too Few to Report,07/01/2021,06/30/2024
ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-HF-HRRP,243,,0.9630,18.3951,19.1017,42,07/01/2021,06/30/2024
ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-COPD-HRRP,145,,0.9824,16.7561,17.0570,23,07/01/2021,06/30/2024
ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ARNOT OGDEN MEDICAL CENTER,330090,NY,READM-30-AMI-HRRP,116,,1.1638,17.1744,14.7571,28,07/01/2021,06/30/2024
COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-PN-HRRP,136,,0.9996,15.4617,15.4682,21,07/01/2021,06/30/2024
COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.0294,4.9329,4.7920,Too Few to Report,07/01/2021,06/30/2024
COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-HF-HRRP,162,,1.0346,20.6905,19.9994,36,07/01/2021,06/30/2024
COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-COPD-HRRP,106,,0.9620,17.7907,18.4940,16,07/01/2021,06/30/2024
COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
JONES MEMORIAL HOSPITAL,330096,NY,READM-30-PN-HRRP,N/A,,0.8816,13.4119,15.2128,Too Few to Report,07/01/2021,06/30/2024
JONES MEMORIAL HOSPITAL,330096,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
JONES MEMORIAL HOSPITAL,330096,NY,READM-30-HF-HRRP,83,,0.9957,19.6543,19.7396,16,07/01/2021,06/30/2024
JONES MEMORIAL HOSPITAL,330096,NY,READM-30-COPD-HRRP,N/A,,0.9840,17.2778,17.5581,Too Few to Report,07/01/2021,06/30/2024
JONES MEMORIAL HOSPITAL,330096,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
JONES MEMORIAL HOSPITAL,330096,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,READM-30-PN-HRRP,2645,,0.9382,15.9668,17.0188,418,07/01/2021,06/30/2024
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,READM-30-HIP-KNEE-HRRP,725,,0.7871,4.0990,5.2075,27,07/01/2021,06/30/2024
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,READM-30-HF-HRRP,2781,,0.8620,18.0418,20.9313,491,07/01/2021,06/30/2024
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,READM-30-COPD-HRRP,631,,0.9423,18.7780,19.9285,114,07/01/2021,06/30/2024
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,READM-30-CABG-HRRP,380,,0.9350,10.9926,11.7572,40,07/01/2021,06/30/2024
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,READM-30-AMI-HRRP,703,,0.9657,14.7672,15.2922,102,07/01/2021,06/30/2024
KENMORE MERCY HOSPITAL,330102,NY,READM-30-PN-HRRP,131,,1.0784,15.2837,14.1722,25,07/01/2021,06/30/2024
KENMORE MERCY HOSPITAL,330102,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
KENMORE MERCY HOSPITAL,330102,NY,READM-30-HF-HRRP,155,,0.9996,18.7289,18.7367,29,07/01/2021,06/30/2024
KENMORE MERCY HOSPITAL,330102,NY,READM-30-COPD-HRRP,53,,1.0485,17.9483,17.1185,13,07/01/2021,06/30/2024
KENMORE MERCY HOSPITAL,330102,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
KENMORE MERCY HOSPITAL,330102,NY,READM-30-AMI-HRRP,N/A,,0.9890,13.1367,13.2823,Too Few to Report,07/01/2021,06/30/2024
OLEAN GENERAL HOSPITAL,330103,NY,READM-30-PN-HRRP,385,,1.0076,15.4549,15.3386,60,07/01/2021,06/30/2024
OLEAN GENERAL HOSPITAL,330103,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9891,4.9425,4.9969,Too Few to Report,07/01/2021,06/30/2024
OLEAN GENERAL HOSPITAL,330103,NY,READM-30-HF-HRRP,207,,1.0371,19.5092,18.8121,43,07/01/2021,06/30/2024
OLEAN GENERAL HOSPITAL,330103,NY,READM-30-COPD-HRRP,121,,1.0573,15.7684,14.9136,23,07/01/2021,06/30/2024
OLEAN GENERAL HOSPITAL,330103,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
OLEAN GENERAL HOSPITAL,330103,NY,READM-30-AMI-HRRP,98,,0.9946,12.5233,12.5915,12,07/01/2021,06/30/2024
NYACK HOSPITAL,330104,NY,READM-30-PN-HRRP,752,,1.1390,18.8912,16.5851,151,07/01/2021,06/30/2024
NYACK HOSPITAL,330104,NY,READM-30-HIP-KNEE-HRRP,140,,1.2247,6.2002,5.0625,11,07/01/2021,06/30/2024
NYACK HOSPITAL,330104,NY,READM-30-HF-HRRP,334,,0.9452,17.9744,19.0159,56,07/01/2021,06/30/2024
NYACK HOSPITAL,330104,NY,READM-30-COPD-HRRP,130,,1.0591,17.5974,16.6158,27,07/01/2021,06/30/2024
NYACK HOSPITAL,330104,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
NYACK HOSPITAL,330104,NY,READM-30-AMI-HRRP,100,,1.0347,14.2675,13.7887,16,07/01/2021,06/30/2024
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,READM-30-PN-HRRP,1414,,0.9936,15.7309,15.8326,222,07/01/2021,06/30/2024
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,READM-30-HIP-KNEE-HRRP,954,,0.7928,3.6294,4.5779,32,07/01/2021,06/30/2024
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,READM-30-HF-HRRP,1512,,1.0816,21.1790,19.5809,326,07/01/2021,06/30/2024
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,READM-30-COPD-HRRP,273,,1.1017,19.6626,17.8470,61,07/01/2021,06/30/2024
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,READM-30-CABG-HRRP,250,,0.8923,9.1713,10.2780,20,07/01/2021,06/30/2024
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,READM-30-AMI-HRRP,453,,1.0531,14.4211,13.6935,68,07/01/2021,06/30/2024
PECONIC BAY MEDICAL CENTER,330107,NY,READM-30-PN-HRRP,569,,0.9564,14.9328,15.6129,82,07/01/2021,06/30/2024
PECONIC BAY MEDICAL CENTER,330107,NY,READM-30-HIP-KNEE-HRRP,1175,,0.8641,3.7995,4.3972,43,07/01/2021,06/30/2024
PECONIC BAY MEDICAL CENTER,330107,NY,READM-30-HF-HRRP,480,,1.0977,20.8687,19.0118,107,07/01/2021,06/30/2024
PECONIC BAY MEDICAL CENTER,330107,NY,READM-30-COPD-HRRP,197,,0.9879,18.2308,18.4535,35,07/01/2021,06/30/2024
PECONIC BAY MEDICAL CENTER,330107,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
PECONIC BAY MEDICAL CENTER,330107,NY,READM-30-AMI-HRRP,115,,1.0587,13.1630,12.4330,18,07/01/2021,06/30/2024
BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-PN-HRRP,N/A,,0.9947,13.6838,13.7572,Too Few to Report,07/01/2021,06/30/2024
BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
BERTRAND CHAFFEE HOSPITAL,330111,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ONEIDA HEALTH HOSPITAL,330115,NY,READM-30-PN-HRRP,124,,1.0252,14.0296,13.6852,19,07/01/2021,06/30/2024
ONEIDA HEALTH HOSPITAL,330115,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ONEIDA HEALTH HOSPITAL,330115,NY,READM-30-HF-HRRP,80,,1.1031,19.8939,18.0337,23,07/01/2021,06/30/2024
ONEIDA HEALTH HOSPITAL,330115,NY,READM-30-COPD-HRRP,N/A,,1.0369,15.0675,14.5310,Too Few to Report,07/01/2021,06/30/2024
ONEIDA HEALTH HOSPITAL,330115,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ONEIDA HEALTH HOSPITAL,330115,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
LENOX HILL HOSPITAL,330119,NY,READM-30-PN-HRRP,406,,0.9360,14.8835,15.9012,56,07/01/2021,06/30/2024
LENOX HILL HOSPITAL,330119,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.7790,3.6093,4.6331,Too Few to Report,07/01/2021,06/30/2024
LENOX HILL HOSPITAL,330119,NY,READM-30-HF-HRRP,470,,0.9703,18.5477,19.1146,85,07/01/2021,06/30/2024
LENOX HILL HOSPITAL,330119,NY,READM-30-COPD-HRRP,95,,1.0325,19.5792,18.9632,21,07/01/2021,06/30/2024
LENOX HILL HOSPITAL,330119,NY,READM-30-CABG-HRRP,199,,0.9404,8.8248,9.3845,16,07/01/2021,06/30/2024
LENOX HILL HOSPITAL,330119,NY,READM-30-AMI-HRRP,167,,0.9587,13.2672,13.8381,20,07/01/2021,06/30/2024
ROCHESTER GENERAL HOSPITAL,330125,NY,READM-30-PN-HRRP,193,,1.1211,17.7476,15.8310,42,07/01/2021,06/30/2024
ROCHESTER GENERAL HOSPITAL,330125,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.0540,6.0190,5.7103,Too Few to Report,07/01/2021,06/30/2024
ROCHESTER GENERAL HOSPITAL,330125,NY,READM-30-HF-HRRP,423,,1.0734,21.2291,19.7782,95,07/01/2021,06/30/2024
ROCHESTER GENERAL HOSPITAL,330125,NY,READM-30-COPD-HRRP,90,,1.0895,21.6233,19.8477,26,07/01/2021,06/30/2024
ROCHESTER GENERAL HOSPITAL,330125,NY,READM-30-CABG-HRRP,91,,0.9993,12.1083,12.1167,11,07/01/2021,06/30/2024
ROCHESTER GENERAL HOSPITAL,330125,NY,READM-30-AMI-HRRP,196,,1.0339,14.9262,14.4368,31,07/01/2021,06/30/2024
GARNET HEALTH MEDICAL CENTER,330126,NY,READM-30-PN-HRRP,939,,1.1083,18.9454,17.0934,185,07/01/2021,06/30/2024
GARNET HEALTH MEDICAL CENTER,330126,NY,READM-30-HIP-KNEE-HRRP,N/A,,1.0120,7.4122,7.3243,Too Few to Report,07/01/2021,06/30/2024
GARNET HEALTH MEDICAL CENTER,330126,NY,READM-30-HF-HRRP,918,,1.0625,21.9504,20.6588,206,07/01/2021,06/30/2024
GARNET HEALTH MEDICAL CENTER,330126,NY,READM-30-COPD-HRRP,475,,0.9848,19.1913,19.4875,90,07/01/2021,06/30/2024
GARNET HEALTH MEDICAL CENTER,330126,NY,READM-30-CABG-HRRP,N/A,,0.9942,10.8638,10.9270,Too Few to Report,07/01/2021,06/30/2024
GARNET HEALTH MEDICAL CENTER,330126,NY,READM-30-AMI-HRRP,349,,0.9991,14.6272,14.6411,51,07/01/2021,06/30/2024
JACOBI MEDICAL CENTER,330127,NY,READM-30-PN-HRRP,180,,1.0469,18.2341,17.4167,36,07/01/2021,06/30/2024
JACOBI MEDICAL CENTER,330127,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
JACOBI MEDICAL CENTER,330127,NY,READM-30-HF-HRRP,194,,1.0321,21.4679,20.7992,44,07/01/2021,06/30/2024
JACOBI MEDICAL CENTER,330127,NY,READM-30-COPD-HRRP,N/A,,0.9502,19.7752,20.8114,Too Few to Report,07/01/2021,06/30/2024
JACOBI MEDICAL CENTER,330127,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
JACOBI MEDICAL CENTER,330127,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ELMHURST HOSPITAL CENTER,330128,NY,READM-30-PN-HRRP,128,,0.9439,13.9176,14.7440,14,07/01/2021,06/30/2024
ELMHURST HOSPITAL CENTER,330128,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ELMHURST HOSPITAL CENTER,330128,NY,READM-30-HF-HRRP,170,,0.9927,20.3205,20.4708,34,07/01/2021,06/30/2024
ELMHURST HOSPITAL CENTER,330128,NY,READM-30-COPD-HRRP,N/A,,0.9750,18.1656,18.6321,Too Few to Report,07/01/2021,06/30/2024
ELMHURST HOSPITAL CENTER,330128,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ELMHURST HOSPITAL CENTER,330128,NY,READM-30-AMI-HRRP,N/A,,1.0082,12.6991,12.5961,Too Few to Report,07/01/2021,06/30/2024
BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-PN-HRRP,140,,0.9509,14.5243,15.2748,17,07/01/2021,06/30/2024
BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-HF-HRRP,169,,1.0680,20.2452,18.9561,39,07/01/2021,06/30/2024
BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-COPD-HRRP,99,,1.0772,16.8572,15.6485,22,07/01/2021,06/30/2024
BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
BON SECOURS COMMUNITY HOSPITAL,330135,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
BASSETT HEALTHCARE,330136,NY,READM-30-PN-HRRP,262,,0.9528,15.3545,16.1155,37,07/01/2021,06/30/2024
BASSETT HEALTHCARE,330136,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.8570,4.5195,5.2736,Too Few to Report,07/01/2021,06/30/2024
BASSETT HEALTHCARE,330136,NY,READM-30-HF-HRRP,314,,0.9478,19.3931,20.4613,57,07/01/2021,06/30/2024
BASSETT HEALTHCARE,330136,NY,READM-30-COPD-HRRP,81,,0.9637,19.4803,20.2138,13,07/01/2021,06/30/2024
BASSETT HEALTHCARE,330136,NY,READM-30-CABG-HRRP,N/A,,0.9907,10.9535,11.0560,Too Few to Report,07/01/2021,06/30/2024
BASSETT HEALTHCARE,330136,NY,READM-30-AMI-HRRP,196,,0.9866,13.6158,13.8007,26,07/01/2021,06/30/2024
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,READM-30-PN-HRRP,600,,1.1730,18.5170,15.7856,122,07/01/2021,06/30/2024
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,READM-30-HIP-KNEE-HRRP,306,,0.8652,4.4594,5.1541,12,07/01/2021,06/30/2024
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,READM-30-HF-HRRP,556,,1.2070,23.0356,19.0858,142,07/01/2021,06/30/2024
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,READM-30-COPD-HRRP,216,,1.0356,18.7104,18.0664,43,07/01/2021,06/30/2024
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,READM-30-CABG-HRRP,338,,1.0489,12.9358,12.3332,45,07/01/2021,06/30/2024
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,READM-30-AMI-HRRP,490,,1.1464,15.0938,13.1665,81,07/01/2021,06/30/2024
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,READM-30-PN-HRRP,859,,1.0282,20.2594,19.7044,176,07/01/2021,06/30/2024
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.9017,4.2979,4.7663,Too Few to Report,07/01/2021,06/30/2024
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,READM-30-HF-HRRP,353,,0.9369,21.2102,22.6387,70,07/01/2021,06/30/2024
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,READM-30-COPD-HRRP,213,,1.0125,20.2129,19.9631,44,07/01/2021,06/30/2024
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,READM-30-AMI-HRRP,N/A,,0.8774,12.5002,14.2476,Too Few to Report,07/01/2021,06/30/2024
ST JAMES HOSPITAL,330151,NY,READM-30-PN-HRRP,120,,1.0260,14.4407,14.0744,19,07/01/2021,06/30/2024
ST JAMES HOSPITAL,330151,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ST JAMES HOSPITAL,330151,NY,READM-30-HF-HRRP,N/A,,1.0114,17.5895,17.3918,Too Few to Report,07/01/2021,06/30/2024
ST JAMES HOSPITAL,330151,NY,READM-30-COPD-HRRP,N/A,,1.0562,15.1870,14.3791,Too Few to Report,07/01/2021,06/30/2024
ST JAMES HOSPITAL,330151,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ST JAMES HOSPITAL,330151,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ELLIS HOSPITAL,330153,NY,READM-30-PN-HRRP,408,,0.9969,15.7380,15.7877,64,07/01/2021,06/30/2024
ELLIS HOSPITAL,330153,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
ELLIS HOSPITAL,330153,NY,READM-30-HF-HRRP,368,,1.0388,18.8232,18.1200,72,07/01/2021,06/30/2024
ELLIS HOSPITAL,330153,NY,READM-30-COPD-HRRP,121,,1.0539,19.0419,18.0680,27,07/01/2021,06/30/2024
ELLIS HOSPITAL,330153,NY,READM-30-CABG-HRRP,N/A,,0.9424,10.6883,11.3421,Too Few to Report,07/01/2021,06/30/2024
ELLIS HOSPITAL,330153,NY,READM-30-AMI-HRRP,210,,0.9560,12.9917,13.5896,25,07/01/2021,06/30/2024
SAMARITAN MEDICAL CENTER,330157,NY,READM-30-PN-HRRP,223,,1.0227,17.6982,17.3045,41,07/01/2021,06/30/2024
SAMARITAN MEDICAL CENTER,330157,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
SAMARITAN MEDICAL CENTER,330157,NY,READM-30-HF-HRRP,205,,0.9927,19.7743,19.9197,40,07/01/2021,06/30/2024
SAMARITAN MEDICAL CENTER,330157,NY,READM-30-COPD-HRRP,99,,1.0384,18.4310,17.7492,21,07/01/2021,06/30/2024
SAMARITAN MEDICAL CENTER,330157,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
SAMARITAN MEDICAL CENTER,330157,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
